,name,id,type,price,material,description,colors,sizes,details
0,Mid-length Kensington Heritage Trench Coat,80583301,Outerwear,2590,"​Outer: 100% cotton*, Lining: 100% cotton*, Sleeve lining: 100% viscose, Buckles: 100% leather, *The main material and lining of this product contain at least 70% cotton, all of which is organically grown","The Iconic Burberry Trench Coat, Made In England From Shower-Resistant Cotton Gabardine. Inside Is Burberry Check Cotton, Used To Line Our Coats Since The 1920S. Part Of The Heritage Collection, The Kensington Is Cut To A Regular Fit With Set-In Sleeves.",Black,34/36/38/40/42/44/46/48/50,Double-breasted button closure​|Hook-and-eye collar closure​|Throat latch|Epaulettes​|Belt​|Side button welt pockets​|Belted cuffs​|Back button vent ​|Burberry Check lining and undercollar​|Comes with a garment bag
1,Mid-length Kensington Heritage Trench Coat,80793881,Outerwear,2590,"Outer: 100% cotton*, Lining: 100% cotton*, Sleeve lining: 100% viscose, Buckles: 100% leather, *The main material and lining of this product contain at least 70% cotton, all of which is organically grown","The Iconic Burberry Trench Coat, Made In England From Shower-Resistant Cotton Gabardine. Inside Is Burberry Check Cotton, Used To Line Our Coats Since The 1920S. Part Of The Heritage Collection, The Kensington Is Cut To A Regular Fit With Set-In Sleeves.",Honey/Coal blue,32/34/36/38/40/42/44/46/48/50,Double-breasted button closure​|Hook-and-eye collar closure​|Throat latch|Epaulettes​|Belt​|Side button welt pockets​|Belted cuffs|​Back button vent ​|Burberry Check lining and undercollar​|Comes with a garment bag
2,Long Kensington Heritage Trench Coat,80583331,Outerwear,2590,"Outer: 100% cotton*, Lining: 100% cotton*, Sleeve lining: 100% viscose, Buckles: 100% leather, *The main material and lining of this product contain at least 70% cotton, all of which is organically grown","The Iconic Burberry Trench Coat, Made In England From Shower-Resistant Cotton Gabardine. Inside Is Burberry Check Cotton, Used To Line Our Coats Since The 1920S. Part Of The Heritage Collection, The Kensington Is Cut To A Regular Fit With Set-In Sleeves.",Black/Honey/Coal blue,34/36/38/40/42/44/46/48/50,Double-breasted button closure​|Hook-and-eye collar closure​|Throat latch|Epaulettes​|Belt​|Side button welt pockets​|Belted cuffs​|Back button vent ​|Burberry Check lining and undercollar​|Comes with a garment bag
3,Long Kensington Heritage Trench Coat,80583341,Outerwear,2590,"Outer: 100% cotton*, Lining: 100% cotton*, Sleeve lining: 100% viscose, Buckles: 100% leather, *The main material and lining of this product contain at least 70% cotton, all of which is organically grown","The Iconic Burberry Trench Coat, Made In England From Shower-Resistant Cotton Gabardine. Inside Is Burberry Check Cotton, Used To Line Our Coats Since The 1920S. Part Of The Heritage Collection, The Kensington Is Cut To A Regular Fit With Set-In Sleeves.",Honey/Black/Coal blue,34/36/38/40/42/44/46/48/50,Double-breasted button closure​|Hook-and-eye collar closure​|Throat latch|Epaulettes​|Belt​|Side button welt pockets​|Belted cuffs​|Back button vent ​|Burberry Check lining and undercollar​|Comes with a garment bag
4,Mid-length Camden Heritage Car Coat,80647301,Outerwear,2150,"Outer: 100% cotton, Lining: 100% cotton, Sleeve lining: 100% viscose","The Original Burberry Car Coat, Made In England From Shower-Resistant Cotton Gabardine. Inside Is Burberry Check Cotton, Used To Line Our Coats Since The 1920S. Part Of The Heritage Collection, The Camden Is Cut To A Regular Fit With Raglan Sleeves.",Honey/Black/Coal blue,32/34/36/38/40/42/44/46/48/50,Single-breasted button closure|Side button welt pockets|Button-tab cuffs|Back button vent|Burberry Check lining and undercollar
5,Mid-length Camden Heritage Car Coat,80647281,Outerwear,2150,"Outer: 100% cotton, Lining: 100% cotton, Sleeve lining: 100% viscose","The Original Burberry Car Coat, Made In England From Shower-Resistant Cotton Gabardine. Inside Is Burberry Check Cotton, Used To Line Our Coats Since The 1920S. Part Of The Heritage Collection, The Camden Is Cut To A Regular Fit With Raglan Sleeves.",Black,32/34/36/38/40/42/44/46/48/50,Single-breasted button closure|Side button welt pockets|Button-tab cuffs|Back button vent|Burberry Check lining and undercollar
6,Long Camden Heritage Car Coat,80647331,Outerwear,2150,"Outer: 100% cotton*, Lining: 100% cotton*, Sleeve lining: 100% viscose, *The main material and lining of this product contain at least 70% cotton, all of which is organically grown","The Original Burberry Car Coat, Made In England From Shower-Resistant Cotton Gabardine. Inside Is Burberry Check Cotton, Used To Line Our Coats Since The 1920S. Part Of The Heritage Collection, The Camden Is Cut To A Regular Fit With Raglan Sleeves.",Honey/Black/Coal blue,32/34/36/38/40/42/44/46/48/50,Single-breasted button closure|Side button welt pockets|Button-tab cuffs|​Back button vent|​Burberry Check lining and undercollar​|Comes with a garment bag
7,Long Camden Heritage Car Coat,80647311,Outerwear,2150,"Outer: 100% cotton*, Lining: 100% cotton*, Sleeve lining: 100% viscose, *The main material and lining of this product contain at least 70% cotton, all of which is organically grown","The Original Burberry Car Coat, Made In England From Shower-Resistant Cotton Gabardine. Inside Is Burberry Check Cotton, Used To Line Our Coats Since The 1920S. Part Of The Heritage Collection, The Camden Is Cut To A Regular Fit With Raglan Sleeves.",Black/Coal blue/Honey,32/34/36/38/40/42/44/46/48/50,Single-breasted button closure|Side button welt pockets|Button-tab cuffs|​Back button vent|​Burberry Check lining and undercollar​|Comes with a garment bag
8,Reversible Check Hooded Jacket,80872191,Outerwear,1790,"Outer: 100% polyester*, Reverse: 100% polyamide, *The main material of this product is made with at least 50% recycled content","A Lightweight Twill Jacket With A Drawcord Hood, Cut To A Relaxed Fit. The Reversible Design Switches From The Burberry Check To A Solid Colour And Is Appliquéd With Our Equestrian Knight Design. Part Of Burberry Classics, Wardrobe Foundations With A Unique Burberry Slant.",Sand/Lichen,XXXS/M/L/XL/XXL/XXXL,Two-way zip closure|Drawcord hood and hem|Side zip pockets; reverse press-stud pockets|Elasticated cuffs|Appliquéd Equestrian Knight Design at both sides|Comes with a garment bag
9,Reversible Check Hooded Jacket,81058421,Outerwear,1850,"Outer: 100% polyester, Reverse: 100% polyamide","A Lightweight Jacket In Burberry Check Twill, Reversing To A Solid Colour In Nylon. The Design Is Cut To An Oversized Fit With A Drawcord Hood And Is Appliquéd With Our Equestrian Knight Design.",Pewter,XXS/M/L/XL/XXL/XXXL,Two-way zip closure|Drawcord hood and hem|Side zip pockets; reverse press-stud pockets|Elasticated cuffs|Appliquéd Equestrian Knight Design at both sides|Comes with a garment bag
10,Reversible Check Hooded Jacket,80270971,Outerwear,1550,"Outer: 100% polyester, Reverse: 100% polyamide, Lining: 100% polyester",A Lightweight Jacket Reversing From The Burberry Check To A Solid Colour With A Logo Appliqué. The Hooded Style Is Cut To A Relaxed Fit.,Archive beige,XXXS/M/L/XL/XXL/XXXL,Two-way zip closure|Drawcord hood and hem|Side zip pockets; reverse press-stud welt pockets|Elasticated press-stud cuffs|Silicone patch with raised Burberry lettering at chest
11,Reversible Check Jacket,80872181,Outerwear,1790,"Outer: 100% polyester*, Reverse: 100% polyamide, *The main material of this product is made with at least 50% recycled content","A Lightweight Jacket In Burberry Check Twill, Reversing To A Solid Colour In Nylon. The Design Is Cut To A Relaxed Fit With A Drawcord Hood And Is Appliquéd With Our Equestrian Knight Design. Part Of Burberry Classics, Wardrobe Foundations With A Unique Burberry Slant.",Lichen/Sand,XXXS/M/L/XL/XXL/XXXL,Two-way zip closure|Drawcord hood and hem|Side zip pockets; reverse press-stud pockets|Elasticated cuffs|Appliquéd Equestrian Knight Design at both sides|Comes with a garment bag
12,Short Kensington Heritage Trench Coat,80793901,Outerwear,2590,"Outer: 100% cotton*, Lining: 100% cotton*, Sleeve lining: 100% viscose, Buckles: 100% calf leather, *The main material and lining of this product contain at least 70% cotton, all of which is organically grown","The Iconic Burberry Trench Coat, Made In England From Shower-Resistant Cotton Gabardine. Inside Is Burberry Check Cotton, Used To Line Our Coats Since The 1920S. Part Of The Heritage Collection, The Kensington Is Cut To A Regular Fit With Set-In Sleeves.",Honey/Coal blue/Black,32/34/36/38/40/42/44/46/48/50,Double-breasted button closure|Hook-and-eye collar closure|Throat latch|Epaulettes|Belt|Side button welt pockets|Belted cuffs|Back button vent|Burberry Check lining and undercollar|Comes with a garment bag
13,Short Kensington Heritage Trench Coat,80793891,Outerwear,2590,"Outer: 100% cotton*, Lining: 100% cotton*, Sleeve lining: 100% viscose, Buckles: 100% calf leather","The Iconic Burberry Trench Coat, Made In England From Shower-Resistant Cotton Gabardine. Inside Is Burberry Check Cotton, Used To Line Our Coats Since The 1920S. Part Of The Heritage Collection, The Kensington Is Cut To A Regular Fit With Set-In Sleeves.",Black/Coal blue/Honey,32/34/36/38/40/42/44/46/48/50,"Double-breasted button closure|Hook-and-eye collar closure|Throat latch|Epaulettes|Belt|Side button welt pockets|Belted cuffs|Back button vent|Burberry Check lining and undercollar|Comes with a garment bag|Regular fit. Fits true to size, take your normal size."
14,Short Camden Heritage Car Coat,80647271,Outerwear,2150,"Outer: 100% cotton*, Lining: 100% cotton*, Sleeve lining: 100% viscose, *The main material and lining of this product contain at least 70% cotton, all of which is organically grown","The Original Burberry Car Coat, Made In England From Shower-Resistant Cotton Gabardine. Inside Is Burberry Check Cotton, Used To Line Our Coats Since The 1920S. Part Of The Heritage Collection, The Camden Is Cut To A Regular Fit With Raglan Sleeves.",Honey,32/34/36/38/40/42/44/46/48/50,​Single-breasted button closure|Side button welt pockets​|Button-tab cuffs|Back button vent|Burberry Check lining and undercollar​|Comes with a garment bag
15,Short Camden Heritage Car Coat,80793921,Outerwear,2150,"Outer: 100% cotton*, Lining: 100% cotton*, Sleeve lining: 100% viscose, *The main material and lining of this product contain at least 70% cotton, all of which is organically grown","The Original Burberry Car Coat, Made In England From Shower-Resistant Cotton Gabardine. Inside Is Burberry Check Cotton, Used To Line Our Coats Since The 1920S. Part Of The Heritage Collection, The Camden Is Cut To A Regular Fit With Raglan Sleeves.",Black/Coal blue,32/34/36/38/40/42/44/46/48/50,Single-breasted button closure|Side button welt pockets|Button-tab cuffs|Back button vent|Burberry Check lining and undercollar|Comes with a garment bag
16,Reversible Quilted Nylon Overshirt,80969151,Outerwear,1550,"Outer: 100% polyamide, Reverse: 100% cotton, Filling: 100% polyester fibres","A Quilted Overshirt Reversing From A Water-Repellent Nylon In A Solid Colour To Burberry Check Cotton Twill. The Style Is Cut To A Relaxed Fit And Appliquéd With A B Shield Motif. Part Of Burberry Classics, Wardrobe Foundations With A Unique Burberry Slant.",Black/sand/Navy/charcoal melange,XXS/M/L/XL/XXL/XXXL,Press-stud closure|Chest patch pocket|Press-stud cuffs|Appliquéd B shield at pocket
17,Reversible Quilted Nylon Overshirt,80970421,Outerwear,1550,"Outer: 100% polyamide, Reverse: 100% cotton, Filling: 100% polyester fibres","A Quilted Overshirt Reversing From A Water-Repellent Nylon In A Solid Colour To Burberry Check Cotton Twill. The Style Is Cut To A Relaxed Fit And Appliquéd With A B Shield Motif. Part Of Burberry Classics, Wardrobe Foundations With A Unique Burberry Slant.",Navy/charcoal melange/Black/sand,XXS/M/L/XL/XXL/XXXL,Press-stud closure|Chest patch pocket|Press-stud cuffs|Appliquéd B shield at pocket
