Unnamed: 0,name,id,type,price,material,description,colors,sizes,details
0,Silk and cotton crew-neck sweater,UMF005_16UQ_F0012_S_OOO,Knitwear,1720.0,38% cotton 62% silk,"This short-sleeved silk and cotton sweater has a classic design animated by the mesh knit that adds a light, modern touch to the garment. ",Sky Blue,44/44/46/48/50/52/54/56/58,Plain knit|Slim fit|Ribbed knit crew neck|Semi-raglan shoulder|Ribbed knit sleeve trim and hem|Jacquard logo
1,Short-sleeved silk and cotton sweater,UMF007_16XU_F0008_S_OOO,Knitwear,1850.0,38% cotton 62% silk,This sleek and refined short-sleeved sweater in silk and cotton has a light silhouette with classic lines and is decorated with the lettering logo. ,Navy,44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Regular shoulder|Ribbed knit hem|Embroidered logo
2,Silk and cotton polo shirt,UMF008_16XU_F0192_S_OOO,Knitwear,1990.0,38% cotton 62% silk,"This silk and cotton polo shirt with sleek, contemporary lines is completed by the contrasting trim and decorated with the lettering logo. ",Ebony,44/44/46/48/50/52/54/56/58,Plain knit|Slim fit|Polo collar|Semi-raglan shoulder|Ribbed knit sleeve trim and hem
3,Cotton polo shirt,UMB903_154B_F0L86_S_OOO,Knitwear,1850.0,100% cotton,This cotton knit polo shirt has a sleek silhouette with a slim fit. The tonal triangle logo completes the contemporary style of the design. ,Milky White,44/44/46/48/50/52/54/56/58,Plain knit|Slim fit|Polo collar|Semi-raglan shoulder|Ribbed knit sleeve trim and hem|Knit triangle logo|Front button closure
4,Cashmere T-shirt with logo,UMF011_16M0_F0MZQ_S_OOO,Knitwear,2250.0,100% cashmere,"College style, combining sporty elements and retro touches, inspires the design of this cashmere tee with an aged-look finish. The vintage allure of the style is emphasized by the logo in a contrasting color. ","Grey, Blue",44/44/46/48/50/52/54/56/58,Regular fit|Short sleeves|Straight hem|Prada logo
5,Cashmere T-shirt with logo,UMF010_16NZ_F057L_S_OOO,Knitwear,2450.0,100% cashmere,"College style, combining sporty elements and retro touches, inspires the design of this cashmere tee with an aged-look finish. The vintage allure of the style is emphasized by the logo in a contrasting color. ",Navy,44/44/46/48/50/52/54/56/58,Regular fit|Short sleeves|Straight hem|Prada logo
6,Short-sleeved cotton sweater,UMB946_154F_F0037_S_OOO,Knitwear,1200.0,65% cotton 35% polyamide,This sleek and refined short-sleeved sweater is made of cotton with a classic silhouette decorated with the iconic geometric shape of the triangle logo. ,Mustard,44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Ribbed knit crew neck|Normal shoulder|Ribbed knit sleeve trim and hem|Knit triangle logo
7,Short-sleeved cotton polo shirt,UMB909_154F_F0013_S_OOO,Knitwear,1320.0,65% cotton 35% polyamide,This cotton polo shirt characterized by a classic design with sleek lines is completed by the iconic geometric shape of the fabric triangle logo. ,Sapphire Blue,44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Ribbed knit collar|Regular shoulder|Ribbed knit sleeve trim and hem|Knit triangle logo|Front button closure
8,Cotton polo shirt,UMB952_16HZ_F0LEG_S_OOO,Knitwear,1590.0,65% cotton 35% polyamide,Contrasting trim defines the design of this short-sleeved cotton polo shirt featuring a stripe motif and enriched with a jacquard lettering logo. ,Black/Pistachio,44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Ribbed knit collar|Semi-raglan shoulder|Ribbed knit sleeve trim and hem|Jacquard logo
9,Striped wool cardigan,UMG381_16EN_F0008_S_OOO,Knitwear,3200.0,100% virgin wool,This wool cardigan is characterized by classic lines and retro-inspired details. The bold graphic contrasts of the stripe motif animate the style decorated with the embroidered lettering logo. ,Navy,44/44/46/48/50/52/54/56/58/60,Plain knit|Regular fit|Polo collar|Semi-raglan shoulder|Ribbed knit cuffs and hem|Embroidered logo|Front button closure|Angled pockets
10,Cotton crew-neck sweater,UMB906_154E_F0AQ1_S_OOO,Knitwear,1990.0,100% cotton,"Soft, oversized lines define this crew neck sweater made of cotton with a ribbed knit motif that enhances the style decorated with the simple and iconic geometric shape of the triangle logo. ",Milky White,44/44/46/48/50/52/54/56/58,Ribbed knit|Oversized fit|Ribbed knit crew neck|Drop shoulder|Ribbed knit cuffs and hem|Knit triangle logo
11,Striped silk and cotton polo shirt,UMB990_16L3_F0002_S_OOO,Knitwear,2150.0,41% cotton 59% silk,The classic polo shirt is reinterpreted with a boxy silhouette with minimalist details. The collar in a contrasting collar and stripe motif add a contemporary note to this silk and cotton style. ,"Black,Burgundy",44/44/46/48/50/52/54/56/58,Plain knit|Boxy fit|Polo collar|Semi-raglan shoulder|Ribbed knit cuffs|Knit triangle logo|Three-button front closure
12,Striped silk and cotton polo shirt,UMB990_16L3_F0007_S_OOO,Knitwear,2150.0,41% cotton 59% silk,The classic polo shirt is reinterpreted with a boxy silhouette with minimalist details. The collar in a contrasting collar and stripe motif add a contemporary note to this silk and cotton style. ,"Black,Burgundy",44/44/46/48/50/52/54/56/58,Plain knit|Boxy fit|Polo collar|Semi-raglan shoulder|Ribbed knit cuffs|Knit triangle logo|Three-button front closure
13,Re-Cashmere cardigan,UMG283_16ZJ_F0589_S_232,Knitwear,2600.0,100% recycled cashmere,"Refined workmanship and sleek details convey timeless allure in this cardigan made of soft regenerated cashmere yarn. The oversized silhouette decorated with the triangle logo has a casual, versatile style.",Indigo Blue,46/46/48/50/52/54/56/58/60,Plain knit|Oversized fit|Regular shoulder|Ribbed knit cuffs and hem|Knit triangle logo|Front button closure|Patch pockets
14,Re-Cashmere crew-neck sweater,UMB674_16ZJ_F0480_S_232,Knitwear,1720.0,100% recycled cashmere,Classic lines and sleek details define this refined sweater made of soft regenerated cashmere with ribbed knit trim. The tonal triangle logo completes the refined and versatile style.,"Slate Gray,Indigo Blue",46/46/48/50/52/54/56/58/60,Plain knit|Regular fit|Ribbed knit crew neck|Semi-raglan shoulder|Ribbed knit cuffs and hem|Knit triangle logo|This garment is made with regenerated cashmere yarn
15,Short-sleeved Re-Cashmere sweater,UMB675_16ZJ_F063H_S_OOO,Knitwear,1590.0,100% recycled cashmere,Classic lines and sleek details define this short-sleeved sweater made of soft regenerated cashmere with ribbed knit trim. The tonal triangle logo completes the refined and versatile style.,Hematite,46/46/48/50/52/54/56/58/60,Plain knit|Oversized fit|Ribbed knit crew neck|Semi-raglan shoulder|Ribbed knit hem|Knit triangle logo|This garment is made with regenerated cashmere yarn
16,Cashmere and silk crew-neck sweater,UMF030_0B8_F0480_S_OOO,Knitwear,2100.0,30% silk 70% cashmere,"Made with a blend of fine cashmere and silk yarn, this crew-neck sweater with classic lines embodies simple elegance and timeless style. ","Black,Slate Gray",44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Ribbed knit crew neck|Raglan shoulder|Ribbed knit cuffs and hem|Knit triangle logo
17,Cashmere and silk polo shirt,UMF027_0B8_F0480_S_OOO,Knitwear,2200.0,30% silk 70% cashmere,"Sleek, contemporary lines define this cashmere and silk polo shirt embellished with the iconic geometric shape of the triangle logo. ","Black,Navy,Slate Gray",44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Ribbed knit collar|Raglan shoulder|Ribbed knit cuffs and hem|Knit triangle logo|Front button closure
18,Cashmere and silk polo shirt,UMF031_0B8_F0002_S_OOO,Knitwear,2250.0,30% silk 70% cashmere,"Made with a blend of fine cashmere and silk yarn, this polo shirt with classic lines embodies simple elegance and timeless style. ","Black,Navy,Slate Gray",44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Ribbed knit collar|Semi-raglan shoulder|Ribbed knit cuffs and hem|Knit triangle logo|Front button closure
19,Cashmere and silk polo shirt,UMF031_0B8_F0008_S_OOO,Knitwear,2250.0,30% silk 70% cashmere,"Made with a blend of fine cashmere and silk yarn, this polo shirt with classic lines embodies simple elegance and timeless style. ","Black,Navy,Slate Gray",44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Ribbed knit collar|Semi-raglan shoulder|Ribbed knit cuffs and hem|Knit triangle logo|Front button closure
20,Cashmere and silk polo shirt,UMF027_0B8_F0008_S_OOO,Knitwear,2200.0,30% silk 70% cashmere,"Sleek, contemporary lines define this cashmere and silk polo shirt embellished with the iconic geometric shape of the triangle logo. ","Black,Navy,Slate Gray",44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Ribbed knit collar|Raglan shoulder|Ribbed knit cuffs and hem|Knit triangle logo|Front button closure
21,Cashmere and silk turtleneck sweater,UMR651_0B8_F0008_S_OOO,Knitwear,2200.0,30% silk 70% cashmere,"Made with a blend of fine cashmere and silk yarn, this turtleneck sweater embodies simple elegance and timeless style. ","Black,Navy",36/36/38/40/42/44/46/48/50/52/54/56/58/60,Plain knit|Regular fit|Ribbed knit turtleneck|Raglan shoulder|Ribbed knit cuffs and hem|Knit triangle logo
22,Cashmere and silk crew-neck sweater,UMF030_0B8_F0002_S_OOO,Knitwear,2100.0,30% silk 70% cashmere,"Made with a blend of fine cashmere and silk yarn, this crew-neck sweater with classic lines embodies simple elegance and timeless style. ","Black,Slate Gray",44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Ribbed knit crew neck|Raglan shoulder|Ribbed knit cuffs and hem|Knit triangle logo
23,Cashmere and silk polo shirt,UMF027_0B8_F0002_S_OOO,Knitwear,2200.0,30% silk 70% cashmere,"Sleek, contemporary lines define this cashmere and silk polo shirt embellished with the iconic geometric shape of the triangle logo. ","Black,Navy,Slate Gray",44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Ribbed knit collar|Raglan shoulder|Ribbed knit cuffs and hem|Knit triangle logo|Front button closure
24,Cashmere and silk turtleneck sweater,UMR651_0B8_F0002_S_OOO,Knitwear,2200.0,30% silk 70% cashmere,"Made with a blend of fine cashmere and silk yarn, this turtleneck sweater embodies simple elegance and timeless style. ","Black,Navy",36/36/38/40/42/44/46/48/50/52/54/56/58/60,Plain knit|Regular fit|Ribbed knit turtleneck|Raglan shoulder|Ribbed knit cuffs and hem|Knit triangle logo
25,Wool cardigan,UMG391_16GM_F0002_S_OOO,Knitwear,1720.0,100% virgin wool,"This soft wool cardigan with slim silhouette has a sleek design and sophisticated texture, while the triangle cut-out on the back reinterprets the classic Prada logo. ",Black,44/44/46/48/50/52/54/56/58,Plain knit|Slim-fit silhouette|Regular shoulder|Ribbed knit cuffs and hem|Perforated triangle logo|Front button closure
26,V-neck wool sweater,UMB967_16GM_F0008_S_OOO,Knitwear,1590.0,100% virgin wool,"New proportions define this wool sweater with a slim fit, reinterpreted with unexpected details. The emblematic geometric shape of the Prada triangle presented as a cut-out on the back completes the contemporary design. ","Navy,Camel Brown,Amaranth Red/Maize Yellow",44/44/46/48/50/52/54/56/58/60,Plain knit|Slim fit|Ribbed knit neck trim|Semi-raglan shoulder|Ribbed knit cuffs and hem|Perforated triangle logo
27,Wool polo shirt,UMB995_16HA_F0C5K_S_OOO,Knitwear,1720.0,100% virgin wool,"An original combination of materials, colors and shapes defines this wool polo shirt with a trompe-l'oeil effect. Vibrant colors and sharp contrasts inspired by comic book superheroes of the 1970s give the design a dynamic character, blurring the boundaries between reality and illusion. ","Yellow/Black,Red/Turquoise",44/44/46/48/50/52/54/56/58/60,Plain knit|Slim fit|Polo collar|Semi-raglan shoulder|Ribbed knit cuffs and hem|Perforated triangle logo
28,Wool polo shirt,UMB995_16HA_F0DXR_S_OOO,Knitwear,1720.0,100% virgin wool,"An original combination of materials, colors and shapes defines this wool polo shirt with a trompe-l'oeil effect. Vibrant colors and sharp contrasts inspired by comic book superheroes of the 1970s give the design a dynamic character, blurring the boundaries between reality and illusion. ","Yellow/Black,Red/Turquoise",44/44/46/48/50/52/54/56/58/60,Plain knit|Slim fit|Polo collar|Semi-raglan shoulder|Ribbed knit cuffs and hem|Perforated triangle logo
29,Wool sweater,UMB997_16HA_F054U_S_OOO,Knitwear,1650.0,100% virgin wool,"An original combination of materials, colors and shapes defines this wool sweater with a trompe-l'oeil effect. Vibrant colors and sharp contrasts inspired by comic book superheroes of the 1970s give the design a dynamic character, blurring the boundaries between reality and illusion. ",Green/Black,44/44/46/48/50/52/54/56/58,Plain knit|Slim fit|Semi-raglan shoulder|Ribbed knit cuffs and hem|Perforated triangle logo
30,Short-sleeved wool polo shirt,UMB993_16HA_F01PS_S_OOO,Knitwear,1590.0,100% virgin wool,New proportions define this slim-fit wool polo shirt reinterpreted with sleek yet unexpected details. The emblematic geometric shape of the Prada triangle presented as a cut-out on the back completes the contemporary design. ,Lime Green,42/42/44/46/48/50/52/54/56/58/60,Plain knit|Slim fit|Polo collar|Semi-raglan shoulder|Ribbed knit sleeve trim and hem|Perforated triangle logo|Front button closure
31,V-neck wool sweater,UMB967_16GM_F0040_S_OOO,Knitwear,1590.0,100% virgin wool,"New proportions define this wool sweater with a slim fit, reinterpreted with unexpected details. The emblematic geometric shape of the Prada triangle presented as a cut-out on the back completes the contemporary design. ","Navy,Camel Brown,Amaranth Red/Maize Yellow",44/44/46/48/50/52/54/56/58/60,Plain knit|Slim fit|Ribbed knit neck trim|Semi-raglan shoulder|Ribbed knit cuffs and hem|Perforated triangle logo
32,V-neck wool sweater,UMB967_16GM_F0399_S_OOO,Knitwear,1590.0,100% virgin wool,"New proportions define this wool sweater with a slim fit, reinterpreted with unexpected details. The emblematic geometric shape of the Prada triangle presented as a cut-out on the back completes the contemporary design. ","Navy,Camel Brown,Amaranth Red/Maize Yellow",44/44/46/48/50/52/54/56/58/60,Plain knit|Slim fit|Ribbed knit neck trim|Semi-raglan shoulder|Ribbed knit cuffs and hem|Perforated triangle logo
33,Cashmere and wool cardigan,UMG370_16AM_F0002_S_OOO,Knitwear,3200.0,30% cashmere 70% virgin wool,"This cardigan, made from a blend of cashmere and wool, features a modern and sporty style. The iconic enameled metal triangle logo adds a unique touch, while the Re-Nylon details on the front and hood emphasize the functionality of the design.",Black,44/44/46/48/50/52/54/56/58/60,Plain Knit|Boxy fit|With hood|Semi-raglan shoulder|Ribbed cuffs and hem|Enameled metal triangle logo|Front zipper closure|Patch pockets|Re-Nylon frontal insert and hood
34,Shetland wool crew-neck sweater,UMB923_16AR_F0AL2_S_OOO,Knitwear,1470.0,100% virgin wool,The classic elegance of this Shetland wool crew-neck sweater is elevated by subtle details such as the tonal triangle logo.,"Sky Blue,Alabaster Pink",44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Ribbed collar|Semi-Raglan shoulder|Ribbed cuffs and hem|Knitted triangle logo
