,name,id,type,price,material,description,colors,sizes,details
0,Nappa leather shirt,UPC222_14IT_F0K74_S_OOO,Leather Clothing,5100,Lambskin,The sporty silhouette of this short-sleeved shirt is reinterpreted with a refined design in nappa leather with minimalist style.,Chalk White,44/44/46/48/50/52/54/56/58/60,Unlined|Regular fit|Center zipper closure|Shirt-style collar|Short sleeves|Enameled metal triangle logo|Pressed finished garment
1,Nappa leather Bermudas,UPP280_14IT_F0K74_S_OOO,Leather Clothing,4400,Lambskin,"These Bermudas, a classic sporty style, are reinterpreted with a minimalist design that enhances the soft lines of the silhouette decorated with the triangle logo. ",Chalk White,44/44/46/48/50/52/54/56/58/60,Unlined garment|Regular fit|Zipper fly|Angled slash pockets|Back patch pocket|Elasticized waistband|Enameled metal triangle logo|Pressed finished garment
2,Suede and cotton bomber jacket,UPW541_16EC_F038K_S_OOO,Leather Clothing,8900,Lambskin,Bonded suede and cotton fabrics are chosen for this hybrid design with sophisticated allure. ,Safari/Black,46/46/48/50/52/54/56/58/60,Unlined garment|Regular fit|Concealed zipper and button closure|Shirt-style collar|Straight sleeve and shirt-style cuffs|Patch pockets|Ribbed knit hem|Leather triangle logo on the back|Pressed finished garment
3,Suede Bomber Jacket,UPW524_158G_F098L_S_OOO,Leather Clothing,6600,Calfskin,"This suede bomber jacket is reimagined with a vintage twist, its classic silhouette redefined by a subtle treatment that adds depth and character to the supple suede. The central zip fastening and stand-up collar create a streamlined look, while the raglan sleeve and knitted cuffs provide a comfortable fit.","Black,Caramel",46/46/48/50/52/54/56/58/60,Lined|Regular fit|Central zip fastening|Stand-up collar|Raglan sleeve and knitted cuffs|Flap pockets|Hem with knitted edge|Leather triangle logo at centre back|Vintage treatment
4,Suede biker jacket,UPW540_158G_F0005_S_OOO,Leather Clothing,7500,Calfskin,The velvety touch of suede softens the bold lines and character of the jacket enriched with a refined vintage effect. ,Tobacco,44/44/46/48/50/52/54/56/58/60,Lined|Regular fit|Center zipper closure|Classic lapel|Zipper cuffs|Pockets and small pocket with zipper|Hem with belt|Leather triangle logo on the back|Vintage treatment
5,Leather bomber jacket,UPW539_16EB_F049N_S_OOO,Leather Clothing,8100,Lambskin,"Expert craftsmanship gives this bomber jacket with contemporary style and ribbed knit trim a soft, lived-in look.",Black/Sand,46/46/48/50/52/54/56/58/60,Unlined|Regular fit|Center zipper closure|Shirt-style collar|Straight sleeves with ribbed knit cuffs|Wide welt pockets|Ribbed knit hem|Leather triangle logo on the back|Pressed garment
6,Nappa and fabric shirt,UPC223_16EB_F049N_S_OOO,Leather Clothing,6000,Lambskin,The boxy silhouette of this short-sleeved shirt is reinterpreted with a contemporary design in nappa leather with a minimalist style.,Black/Sand,44/44/46/48/50/52/54/56/58/60,Unlined garment|Regular fit|Center button closure|Shirt collar|Short sleeves|Leather triangle logo on the back|Pressed finished garment
7,Nappa leather coat,UPS661_16IL_F0002_S_VOO,Leather Clothing,8400,Lambskin,Vertical lines and retro details create the slim silhouette of this nappa leather coat characterized by the vintage finish that gives it a unique and refined allure.,Black,46/46/48/50/52/54/56/58/60,Lined garment|Regular fit|Center button closure|Shirt-style collar|Straight sleeve|Flap pockets|Leather triangle logo|Vintage treatment
8,Nappa leather hoodie,UPW549_16IL_F0002_S_OOO,Leather Clothing,6500,Lambskin,The hybrid design of this hoodie combines artisan sophistication and a sporty style. The soft nappa leather with an aged look enriches the hooded silhouette decorated with the lettering logo. ,Black,44/44/46/48/50/52/54/56/58/60,Unlined garment|Regular fit|Hooded collar|Raglan sleeve and ribbed knit cuffs|Pouch pockets|Hem with ribbed knit edge|Hot-stamped logo|Final waxing treatment
9,Double-breasted nappa leather coat,UPS663_16IM_F0397_S_VOO,Leather Clothing,11600,Lambskin,The silhouette of this double-breasted coat is enhanced by the soft texture of nappa leather that has undergone an artisan process for a vintage look that gives the garment a refined style. ,Cordovan,44/44/46/48/50/52/54/56/58/60,Lined|Regular fit|Center button closure|Classic lapels|Straight sleeves|Flap pockets|Leather logo triangle|Vintage treatment
